[表題行],部門,勘定科目,補助科目,日付,伝票No.,作業日付,仕訳番号,決算,調整,付箋１,付箋２,タイプ,生成元,部門,税区分,税計算区分,相手勘定科目,相手補助科目,相手部門,相手税区分,相手税計算区分,借方金額,借方税額,貸方金額,貸方税額,金額,残高,摘要,請求書区分,仕入税額控除,期日,番号,仕訳メモ
[明細行],,きらぼし/経理(0685540),,2024/12/25,7,令和6年12月10日,870509,,NO,,,[振伝],,,,,諸口,,,,,,,7500,,-7500,52210191,8 BOX PTE. LTD.　業務提携費　9月　　海外送金手数料(先方負担),,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,37,令和6年12月11日,871243,,NO,,,[振伝],,,,,諸口,,,,,,,29186701,,-29186701,23023490,PEAK ONE. LLC　合計,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,37,令和6年12月11日,871251,,NO,,,[振伝],,,,,諸口,,,,,,,7500,,-7500,23015990,海外送金手数料　先方負担,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,37,令和6年12月11日,871252,,NO,,,[振伝],,,,,支払手数料,海外送金手数料,,,,,,0,,0,23015990,海外送金手数料　差額自社負担,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897455,,NO,,,[振伝],,,,,諸口,,,,,,,254347,,-254347,22761643,㈱ｼﾞｪｲ･ｱｲ･ｴｽ　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897459,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,4950,,-4950,22756693,㈱MIOﾜｰｸｽ　配送代行費　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897460,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,275,,-275,22756418,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897461,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,2000000,,-2000000,20756418,(同)KUWADATE　ﾏｰｹﾃｨﾝｸﾞｺﾝｻﾙﾃｨﾝｸﾞ報酬　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897462,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,20755978,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897463,,NO,,,[振伝],,,,,諸口,,,,,,,44895,,-44895,20711083,山岸優希　ﾒﾃﾞｨｱﾃﾞｨﾚｸｼｮﾝ費･広告運用代行　11月,,,,,
